再来月	さらいげつ	Dans deux mois	1	4	Nom	
再来年	さらいねん	Dans deux ans	1	4	Nom	
食べ物	たべもの	Nourriture	1	5	Nom	
飲み物	のみもの	Boisson	1	5	Nom	
果物	くだもの	Fruit	1	5	Nom	
休み	やすみ	Jour férié; jour de repos; absence	1	5	Nom	
旅行	りょこう	Voyage	1	5	Nom	
海	うみ	Mer	1	5	Nom	
サーフィン		Surf	1	5	Nom	
お土産	おみやげ	Souvenir	1	5	Nom	
バス		Bus	1	5	Nom	
天気	てんき	Temps (météo)	1	5	Nom	
宿題	しゅくだい	Devoirs	1	5	Nom	
テスト		Contrôle	1	5	Nom	
誕生日	たんじょうび	Anniversaire	1	5	Nom	
部屋	へや	Chambre; pièce	1	5	Nom	
僕	ぼく	Je (utilisé par les hommes)	1	5	Nom	
Lサイズ		Taille L	1	5	Nom	
新しい	あたらしい	Nouveau	1	5	いAdj	
古い	ふるい	Vieux (objet - ne s'utilise pas pour les personnes)	1	5	いAdj	
暑い	あつい	Chaud (météo)	1	5	いAdj	
寒い	さむい	Froid (météo - ne s'utilise pas pour les choses)	1	5	いAdj	
熱い	あつい	Chaud (objet)	1	5	いAdj	
忙しい	いそがしい	Occupé (personne/journée)	1	5	いAdj	
大きい	おおきい	Grand	1	5	いAdj	
小さい	ちいさい	Petit	1	5	いAdj	
面白い	おもしろい	Intéressant; drôle	1	5	いAdj	
つまらない		Ennuyeux	1	5	いAdj	
やさしい		Facile (problème); gentil (personne)	1	5	いAdj	
難しい	むずかしい	Difficile	1	5	いAdj	
かっこいい		Beau (se conjugue comme いい)	1	5	いAdj	
怖い	こわい	Effrayant	1	5	いAdj	
楽しい	たのしい	Amusant	1	5	いAdj	
安い	やすい	Peu coûteux; bon marché (objet)	1	5	いAdj	
好き	すき	Aimer; apprécier	1	5	なAdj	～が
嫌い	きらい	Être dégouté; ne pas aimer	1	5	なAdj	～が
大好き	だいすき	Être très attaché à; adore	1	5	なAdj	～が
大嫌い	だいきらい	Détester	1	5	なAdj	～が
きれい		Beau; propre	1	5	なAdj	
元気	げんき	Sain; énergique	1	5	なAdj	
静か	しずか	Calme	1	5	なAdj	
にぎやか		Animé	1	5	なAdj	
暇	ひま	Disponible; libre (temps)	1	5	なAdj	
泳ぐ	およぐ	Nager	1	5	U-Vb	
聞く	きく	Demander	1	5	U-Vb	personneに
乗る	のる	Monter; embarquer	1	5	U-Vb	～に
やる		Faire; réaliser	1	5	U-Vb	～を
出かける	でかける	Sortir	1	5	Ru-Vb	
一緒に	いっしょに	Ensemble	1	5		
すごく		Extrêmement	1	5	Adv	
大丈夫	だいじょうぶ	Ça va. ; Tout va bien. ; Ne t'inquiète pas.	1	5		
とても		Très	1	5	Adv	
どんな		Quel genre de ...	1	5		
～枚	～まい	[Compteur pour les objets plats]	1	5		
漢字	かんじ	Kanji; caractère chinois	1	6	Nom	
教科書	きょうかしょ	Manuel	1	6	Nom	
ページ		Page	1	6	Nom	
次	つぎ	Suivant	1	6	Nom	
お金	おかね	Argent	1	6	Nom	
荷物	にもつ	Bagage	1	6	Nom	
パソコン		Ordinateur	1	6	Nom	
シャワー		Douche	1	6	Nom	
エアコン		Climatiseur	1	6	Nom	
電気	でんき	Électricité; lumière	1	6	Nom	
窓	まど	Fenêtre	1	6	Nom	
電車	でんしゃ	Train	1	6	Nom	
国	くに	Pays; lieu d'origine	1	6	Nom	
今週	こんしゅう	Cette semaine	1	6	Nom	
来週	らいしゅう	La semaine prochaine	1	6	Nom	
来年	らいねん	L'année prochaine	1	6	Nom	
夜	よる	Nuit	1	6	Nom	
大変	たいへん	Difficile (situation)	1	6	なAdj	
遊ぶ	あそぶ	Jouer; passer le temps de manière agréable	1	6	U-Vb	
急ぐ	いそぐ	Se dépêcher	1	6	U-Vb	
返す	かえす	Rendre (quelque chose)	1	6	U-Vb	personneにchoseを
消す	けす	Éteindre; effacer	1	6	U-Vb	～を
死ぬ	しぬ	Mourir	1	6	U-Vb	
座る	すわる	S'asseoir	1	6	U-Vb	～に
立つ	たつ	Se mettre debout	1	6	U-Vb	
たばこを吸う	たばこをすう	Fumer	1	6	U-Vb	
使う	つかう	Utiliser	1	6	U-Vb	～を
手伝う	てつだう	Aider	1	6	U-Vb	～を
入る	はいる	Entrer	1	6	U-Vb	～に
持つ	もつ	Porter; tenir	1	6	U-Vb	～を
休む	やすむ	Être absent (de...)	1	6	U-Vb	～を
休む	やすむ	Se reposer	1	6	U-Vb	
開ける	あける	Ouvrir (quelque chose)	1	6	Ru-Vb	～を
閉める	しめる	Fermer (quelque chose)	1	6	Ru-Vb	～を
教える	おしえる	Enseigner; apprendre	1	6	Ru-Vb	personneにchoseを
忘れる	わすれる	Oublier; laisser derrière soi	1	6	Ru-Vb	～を
降りる	おりる	Descendre	1	6	Ru-Vb	～を
借りる	かりる	Emprunter	1	6	Ru-Vb	personneにchoseを
シャワーを浴びる	シャワーをあびる	Prendre une douche	1	6	Ru-Vb	
つける		Allumer; mettre en marche	1	6	Ru-Vb	～を
電話する	でんわする	Téléphoner	1	6	Irr-Vb	～に
連れてくる	つれてくつ	Amener (quelqu'un)	1	6	Irr-Vb	～を
持ってくる	のってくる	Apporter (quelque chose)	1	6	Irr-Vb	～を
後で	あとで	Plus tard	1	6	Adv	
すぐ		Tout de suite	1	6	Adv	
ゆっくり		Lentement; tranquillement; sans se presser	1	6	Adv	
結構です	けっこうです	Ça ira. ; Ce ne sera pas nécessaire.	1	6	Exp	
本当ですか	ほんとうですか	Vraiment ?	1	6	Exp	
家族	かぞく	Famille	1	7	Nom	
おじいさん	おじいさん	Grand-père; vieil homme	1	7	Nom	
おばあさん	おばあさん	Grand-mère; vieille femme	1	7	Nom	
お兄さん	おにいさん	Grand frère	1	7	Nom	
お姉さん	おねえさん	Grande soeur	1	7	Nom	
父	ちち	(Mon) père	1	7	Nom	
母	はは	(Ma) mère	1	7	Nom	
兄	あに	(Mon) grand frère	1	7	Nom	
姉	あね	(Ma) grande soeur	1	7	Nom	
妹	いもうと	Petite soeur	1	7	Nom	
弟	おとうと	Petit frère	1	7	Nom	
兄弟	きょうだい	Frères et soeurs	1	7	Nom	
男の人	おとこのひと	Homme	1	7	Nom	
女の人	おんなのひと	Femme	1	7	Nom	
会社	かいしゃ	Entreprise	1	7	Nom	
食堂	しょくどう	Cafétéria; réfectoire	1	7	Nom	
デパート		Grand magasin	1	7	Nom	
髪	かみ	Cheveux	1	7	Nom	
口	くち	Bouche	1	7	Nom	
目	め	Oeil	1	7	Nom	
眼鏡	めがね	Lunettes	1	7	Nom	
歌	うた	Chanson	1	7	Nom	
サークル		Activité de club	1	7	Nom	
車	くるま	Voiture	1	7	Nom	
長い	ながい	Long	1	7	いAdj	
短い	みじかい	Court (longueur)	1	7	いAdj	
速い	はやい	Rapide	1	7	いAdj	
背が高い	せがたかい	Grand (taille)	1	7	いAdj	
背が低い	せがひくい	Petit (taille)	1	7	いAdj	
頭がいい	あたまがいい	Brillant; intelligent; malin	1	7	いAdj	
かわいい		Mignon	1	7	いAdj	
親切	しんせつ	Gentil	1	7	なAdj	
便利	べんり	Pratique	1	7	なAdj	
歌う	うたう	Chanter	1	7	U-Vb	～を
かぶる		Mettre (un chapeau)	1	7	U-Vb	～を
はく		Mettre (des vêtements en dessous de la taille)	1	7	U-Vb	～を
知る	しる	Connaître; savoir	1	7	U-Vb	～を
知っています	しっています	Je sais	1	7	U-Vb	
知りません	しりません	Je ne sais pas	1	7	U-Vb	
住む	すむ	Habiter (～に住んでいます)	1	7	U-Vb	～に
働く	はたらく	Travailler	1	7	U-Vb	
太る	ふとる	Prendre du poids	1	7	U-Vb	
太っています	ふとっています	Être gros; être en surpoids	1	7	U-Vb	
(眼鏡を)かける	(めがねを)かける	Mettre (des lunettes)	1	7	Ru-Vb	
着る	きる	Mettre (des vêtements au-dessus de la taille)	1	7	Ru-Vb	～を
やせる		Perdre du poids	1	7	Ru-Vb	
やせています		Être mince	1	7	Ru-Vb	
結婚する	けっこんする	Se marier	1	7	Irr-Vb	～と
～が		..., mais	1	7		
何も＋Négatif	なにも	Rien	1	7		
～人	～にん	[Compteur pour les personnes]	1	7		
一人	ひとり	Une personne	1	7		
二人	ふたり	Deux personnes	1	7		
別に＋Négatif	べつに	Rien en particulier	1	7		
もちろん		Bien sûr	1	7		
よかったら		Si cela vous dit	1	7		
晴れ	はれ	Temps ensoleillé	1	8	Nom	
雨	あめ	Pluie	1	8	Nom	
曇り	くもり	Temps nuageux	1	8	Nom	
雪	ゆき	Neige	1	8	Nom	
天気予報	てんきよほう	Prévisions météorologiques	1	8	Nom	
気温	きおん	Température (météo - ne s'utilise pas pour les choses)	1	8	Nom	
夏	なつ	Été	1	8	Nom	
冬	ふゆ	Hiver	1	8	Nom	
今朝	けさ	Ce matin	1	8	Nom	
あさって		Après-demain	1	8	Nom	
毎週	まいしゅう	Toutes les semaines; chaque semaine	1	8	Nom	
今月	こんげつ	Ce mois-ci	1	8	Nom	
来月	らいげつ	Le mois prochain	1	8	Nom	
会社員	かいしゃいん	Employé(e) de bureau	1	8	Nom	
仕事	しごと	Emploi; travail; profession	1	8	Nom	
カメラ		Appareil photo	1	8	Nom	
カラオケ		Karaoké	1	8	Nom	
所	ところ	Lieu	1	8	Nom	
トマト		Tomate	1	8	Nom	
箸	はし	Baguettes	1	8	Nom	
パーティー		Fête	1	8	Nom	
バーベキュー		Barbecue	1	8	Nom	
ホームステイ		Séjour chez l'habitant; vivre dans une famille d'accueil	1	8	Nom	
お風呂	おふろ	Bain	1	8	Nom	
