四字熟語	読み	意味	級	ページ	類義語	対義語	別の読み	参考	補説	優先
造反無道	ぞうはんむどう	体制に背いて道理にはずれた行いをすること。	5	310		造反有理				
造反有理	ぞうはんゆうり	体制に背くのにもそれなりの道理がある。	5	310		造反無道、造反無理				
争名争利	そうめいそうり	名誉と利益を争い奪う。	5	311	争名競利、争名奪利					
装模作様	そうもさくよう	気どったり、みえをはったりすること。	5	311						
総量規制	そうりょうきせい	汚染物質の総排出量を規制する制度。	5	311						
続短断長	ぞくたんだんちょう	過不足がないよううまい具合に整えること。	5	312	採長補短、舎短取長、助長補短					
則天去私	そくてんきょし	私心を捨てて自然のままに生きること。	5	313						
素車白馬	そしゃはくば	葬式用の馬車。	5	313						
孫康映雪	そんこうえいせつ	苦学することのたとえ。	5	314	蛍雪之功、車胤聚蛍、蛍窓雪案、苦学力行					
損者三友	そんしゃさんゆう	交わって損をする三種類の友人。	5	315		益者三友				
大快人心	たいかいじんしん	人々を痛快な気持ちにさせる。	5	315	痛快無比					
対岸火災	たいがんのかさい	自分には関係のないできごとのたとえ。	5	316	隔岸観火					
大器小用	たいきしょうよう	すぐれた才をもった人を使いこなせないたとえ。また、人材の用い方が不当なたとえ。	5	316	大材小用、大才小用	適材適所				
大器晩成	たいきばんせい	大人物は往々にして、遅れて頭角をあらわすことのたとえ。	5	316	大本晩成、大才晩成					-
大義名分	たいぎめいぶん	ある行為の根拠となる正当な理由や道理。	5	316						-
大逆無道	たいぎゃくむどう	道理や人の道をふみはずした行い。	5	316	悪逆無道、悪逆非道、極悪非道					
大月小月	たいげつしょうげつ	大きい月と小さい月。大の月と小の月。	5	317						
体元居正	たいげんきょせい	善を身につけて正しい立場に身をおくこと。	5	317						
大山鳴動	たいざんめいどう	騒ぎだけ大きくて結果は意外に小さいことのたとえ。	5	318						
大死一番	だいしいちばん	ここぞと意を決すること。	5	318			たいしいちばん			
大所高所	たいしょこうしょ	細部にこだわらないで全体を見通す大きな観点のこと。	5	319						
大信不約	たいしんふやく	ほんとうの信頼関係はあらかじめ約束するような瑣末(さまつ)なものではない	5	319	大徳不官、大道不器、大時不斉					
大同小異	だいどうしょうい	細かい点に違いはあるが、だいたいは同じであること。	5	320	同工異曲、大異小同					-
大同団結	だいどうだんけつ	多くの団体・政党などが、共通の目的のために意見の違いをこえて団結すること。	5	320						
大道不器	たいどうふき	聖人のふみ行う大いなる道はごく限られた物しか盛ることのできない器とは違い、広く普遍的な作用を発揮できるものであるということ。	5	320	大徳不官、大信不約、大時不斉					
大兵肥満	だいひょうひまん	体が大きく太っていること。	5	321						
大欲非道	たいよくひどう	欲が深くて、慈悲人情のないこと。	5	321			だいよくひどう			
多事多難	たじたなん	事件が多く、困難なことが多いこと。	5	323	多事多患	平穏無事				
多情多感	たじょうたかん	感受性が強く、物事の情趣を深く感じる。	5	323	多情多恨、多情仏心					
多情仏心	たじょうぶっしん	感情が豊かで移り気だが、薄情にはなれない性質のこと	5	324						
達人大観	たつじんたいかん	道理を極めた人は、物事の全体を見通すので判断を誤らないということ。	5	324	大人大観、真人大観					
他力本願	たりきほんがん	自分で努力せず、もっぱら他人の力をあてにすること。	5	324	悪人正機					-
単純明快	たんじゅんめいかい	はっきりしていてわかりやすいこと。	5	326	簡単明瞭、直截簡明	複雑怪奇				
断章取義	だんしょうしゅぎ	抜き出して用いること。	5	326	断章截句、断章取意					
単刀直入	たんとうちょくにゅう	前置きなしに、いきなり本題に入ること。	5	327						-
断編残簡	だんぺんざんかん	書物の残欠して完全でないもの	5	328						
談論風発	だんろんふうはつ	盛んに話しあい議論すること。	5	329	議論百出、踔厲風発、百家争鳴					
知行合一	ちこうごういつ	本当の知は実践を伴わなければならないということ。	5	330						
知者不言	ちしゃふげん	物事をほんとうに知っているものは言わないものだ。	5	331	大智不智、言者不知					
知者楽水	ちしゃらくすい	知恵のある人は、知が滞ることなく自由に働き、そのさまが水に似ているので、水を好んで楽しむということ。	5	331	仁者楽山					
置酒高会	ちしゅこうかい	盛大に酒宴を催すこと。	5	331						
知足安分	ちそくあんぶん	高望みをしないこと。	5	331	安分守己					
地平天成	ちへいてんせい	世の中が平穏で、万物が栄えること。また、地変や天災がなく、自然界が穏やかなこと。	5	332		天災地変、天変地異				
着眼大局	ちゃくがんたいきょく	ものごとを全体として大きくとらえること。	5	332		着手小局				
忠君愛国	ちゅうくんあいこく	君に忠節をつくし、国を愛すること。	5	332						-
忠孝両全	ちゅうこうりょうぜん	君主に対する忠義と親に対する孝行を二つとも全うすること。	5	333	忠孝双全、忠孝両立、忠孝一致	忠孝不並				
中秋名月	ちゅうしゅうのめいげつ	陰暦八月十五日の夜の月。	5	334						-
昼想夜夢	ちゅうそうやむ	昼に思ったことが夜の夢になること。	5	334						
中通外直	ちゅうつうがいちょく	君子の心と行動が広く正しいことのたとえ。	5	334						
長安日辺	ちょうあんにっぺん	遠く離れた地のこと。また、才知に富んでいること。	5	335						
重見天日	ちょうけんてんじつ	暗く苦しい状況から解放されて、以前の明るい状態に戻ること。	5	337	撥雲見天					
長生久視	ちょうせいきゅうし	長生きをすること。	5	338						
長生不死	ちょうせいふし	長生きして死なない。長生きして衰えない。	5	338	長生不老、不老長生、不老長寿					
頂天立地	ちょうてんりっち	堂々として誰にも頼らず生きているさま。	5	340						
頂門一針	ちょうもんのいっしん	人の急所をつく適切な戒め。	5	340	頂門金椎、当頭一棒、寸鉄殺人					
